0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
포항,54708,0,28,0,9112,0,4292,0,10958,0,0,2868,4371,113654,0,0,8230,0,0,360,0,1226,0,1,0,12105,0,0,667,0,0,0,0,0,0,0,0,0,0,0,0,1296,792,0,0,0,0,0,0,0,0,0,0,1080,0,0,0,193,883,0,0,0,0,0,0,360,0,0,0,0,15510,5976,14051,83550,1803018,720,0,360,0,0,1454,0,0,0,0
진해,6565,0,2119,0,1180,0,634,432,1957,547,0,10,0,1797,138,87,2215,0,0,0,0,4630,88,0,0,0,273,0,963,0,180,245,254,0,0,0,0,0,0,638,699,0,0,75,497,364,368,0,0,0,42,792,0,0,279,206,0,0,0,0,0,0,0,0,0,712,0,0,0,0,0,0,0,0,1080,106156,0,84436,0,0,0,0,812,955,1263
진영,14626,0,3621,0,4295,378,1322,792,4162,54,191,868,2100,18230,2710,15621,97260,0,0,0,0,130,20,48,0,0,0,0,72,0,30,46,506,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,86,9,5466,52776,2508,5627,1178,180,249,25,293
마산,238707,316,57025,0,65661,6044,26421,10346,57315,593,5313,15321,22815,144926,41896,67978,153745,0,0,288,0,1749,1196,1599,0,0,0,101,0,0,449,1234,6944,467,0,0,0,4690,0,366,0,0,0,0,0,0,0,0,0,0,72,216,1008,0,0,0,0,0,0,682,0,0,21,0,1,0,0,0,0,0,0,0,0,0,360,44826,52813,818,119276,68397,15118,2481,2033,1416,4521
군북,8413,0,2488,0,2281,219,404,422,1728,31,224,403,822,4719,843,2396,19192,0,0,0,0,0,0,0,0,0,0,0,0,0,25,34,280,0,0,0,0,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2468,139843,6370,45146,1511,441,123,3,203
진주,48241,0,13616,0,20037,6407,6563,5747,12496,107,1016,2847,5687,13963,6590,14354,29330,0,0,0,0,0,0,637,683,0,870,1751,0,567,320,304,5036,2036,159,775,270,10537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,280,398,462,0,0,4433,55214,35692,31964,99021,7117,1460,111,2345
하동,7487,0,2331,0,1408,168,277,148,419,0,0,1,0,820,0,978,9900,0,0,0,0,0,0,561,0,0,132,201,0,124,45,1113,405,144,3,157,52,8273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,140,40,72,988,0,946,15236,1348,91160,10869,6690,1171,41,3594
광양,8017,0,3417,0,1499,325,180,107,607,0,0,0,0,5,2,311,4169,0,0,0,0,2,0,0,0,0,436,262,0,0,131,145,1450,456,85,193,96,10836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,62,20,0,0,0,165,3087,503,7194,8781,5088,4426,295,1596
보성,41371,0,13906,0,7045,0,1656,952,3507,237,0,0,0,0,0,1152,11950,0,0,0,0,0,0,0,0,0,1677,3362,3342,685,2886,1371,1770,20,0,0,0,66934,0,0,0,0,0,0,0,369,0,0,0,0,0,294,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,2195,0,0,0,0,812,259,2746,180,1340,931,1848,143141,27430,222863
화순,2595,0,1165,0,577,0,104,109,373,0,0,0,0,0,0,76,1555,0,0,0,0,0,0,0,0,0,192,266,158,58,196,356,1845,0,0,0,0,5851,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955,28,1430,9,111,601,133,12567,3460,15517
광주,488565,525,127827,0,87562,13297,23106,11748,43458,0,0,0,0,0,0,394,25743,0,0,0,0,0,0,0,0,0,27493,54693,39562,4007,6995,21257,185275,0,0,0,0,30094,0,0,1023,0,0,0,0,114,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4415,0,0,0,0,0,0,0,0,0,1533,255,5631,121,2404,3476,1248,251070,58059,20386
