0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,울산,여수엑스포
상주,288,0,0,0,0,0,0,0,0,0,0,0,20922,21768,3309,44615,6089,813,6520,14314,0,0,0,0,0,0,0,0,3873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,2626,1057,0,2,1,5,16,14,73,785,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,180
점촌,0,0,0,0,0,0,0,0,0,0,0,0,12445,10428,2066,23739,3878,519,5407,9168,0,0,0,0,0,0,0,0,3935,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2721,0,660,0,4,9,15,9,9,55,719,0,0,0,0,0,311,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,131
예천,0,0,0,0,0,0,0,0,0,0,0,0,4598,5541,598,10035,1401,312,2820,4042,0,0,0,0,0,0,0,0,2232,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450,758,66,0,2,1,1,6,1,36,235,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,26
연무대,9360,0,0,72,0,0,0,3096,720,0,0,0,0,72,0,216,0,0,216,864,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,6320,72,6696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
봉화,2160,0,0,0,0,0,0,0,0,0,0,0,52,23,10,1165,14,0,24,42,0,0,0,0,0,0,0,0,1125,3070,197,242,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,0,0,0,627,2330,1093,294,2743,1684,0,0,0,0,0,0,914,174,302,0,403,185,493,0,0,0,0,0,0,0,0,0,0,1206,44
춘양,0,0,0,0,0,0,0,0,0,0,0,0,8,44,3,1545,8,7,12,27,0,0,0,0,0,0,0,0,6811,2424,111,242,0,0,0,0,0,0,0,0,6,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,0,768,233,2510,1037,182,1653,1155,0,0,0,0,0,0,676,71,191,0,0,39,190,0,0,0,0,0,0,0,0,0,0,733,87
석포,18486,0,0,0,0,0,0,83,8,86,0,0,7,57,1,2022,0,23,59,290,0,0,0,0,0,0,0,0,9389,2109,111,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,42,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,7,0,2385,3464,1605,3278,613,1283,971,0,0,0,0,0,0,327,69,108,0,432,52,116,0,0,0,0,0,0,0,0,0,0,387,0
철암,0,0,0,0,0,0,0,0,0,5,0,0,43,75,3,9505,6,23,70,1423,0,59,7,286,1,276,0,0,5167,3673,452,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878,0,0,0,0,0,0,0,11,16,16,0,1128,1036,2579,147,1728,5138,4749,0,4,190,35,1266,310,4110,381,1000,0,605,0,780,0,0,0,0,0,0,0,0,0,0,3662,4
도계,0,0,0,0,0,0,0,4,4,14,0,0,103,317,54,3931,177,87,334,1046,344,530,44,4653,31,3765,0,11,1940,677,132,197,0,0,0,0,0,0,0,0,0,0,0,0,0,23,195,7,0,0,3,0,0,0,0,0,0,0,0,0,0,19923,0,0,0,0,0,0,0,30,18,4,0,299,168,650,1746,438,32350,23568,0,15,875,122,3034,2985,818,46,191,0,0,0,196,0,0,0,0,0,0,0,0,0,0,438,0
동해,679,171,0,0,0,0,0,160,43,359,0,0,122,358,29,4969,56,61,158,381,169,1038,78,1974,36,12105,0,268,11270,4279,850,767,0,0,43,0,213,0,344,0,81,0,1278,0,0,289,764,429,137,57,124,0,0,0,0,0,484,0,181,96,145,18211,0,0,0,0,0,0,0,123,128,111,0,2694,1646,1208,5249,29283,1451,80510,0,195,4357,580,12024,17367,750,111,255,0,0,0,584,0,122,46,20,213,12,0,0,0,1748,612,27
강릉,7256,214,0,0,0,0,68,136,62,857,0,0,374,875,566,11330,237,200,637,1452,202,1588,94,3150,23,17168,0,370,8050,4750,1078,971,0,0,0,0,109,28,743,19,34,204,255,0,0,82,445,2940,163,101,271,110,204,663,0,0,395,0,0,0,0,49507,0,0,0,0,0,0,0,690,624,245,0,1551,1103,918,4737,21830,65158,84829,0,51,3447,899,16776,27256,3321,338,1323,0,0,0,574,4,2,144,0,0,0,0,0,0,413,2166,110
