0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼랑진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,광주,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순
청평,0,0,525,0,0,0,0,144,288,0,0,0,0,0,432,0,0,0,72,0,0,0,215,273,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325768,40674,0,0,18830,172896,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,576,0,0,0,0,0,0
춘천,4,0,1331,0,65,0,25,0,122,0,0,20,0,107,0,26,593,0,432,84,0,0,0,29,0,432,0,241,13,729,216,0,0,0,0,0,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,2014697,338494,0,0,18632,74813,432,0,0,0,0,815,0,0,0,360,921,0,0,0,0,0,0,0,0,360,0,0,157,0,0,0,0,0,0
일영,2014,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10803,0,0,0,2092,0,0,432,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상주,290,0,0,0,0,0,0,0,0,0,0,20573,6547,54425,6927,608,23644,0,0,0,0,0,3986,0,0,0,117,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2275,3203,577,0,0,6,31,16,109,865,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
점촌,0,0,0,0,4,0,0,0,0,0,0,20221,11090,53747,6441,1086,26269,0,0,0,0,0,3334,50,0,0,61,0,217,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2061,8,214,0,0,1,34,10,118,738,0,0,0,4,0,92,864,0,0,0,0,19,0,161,0,0,0,0
예천,0,0,0,0,0,0,0,0,0,0,0,6514,6698,11658,1871,404,11660,0,0,0,0,0,680,0,0,0,0,10,0,0,0,0,0,346,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,170,47,0,0,0,3,2,25,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
군산,0,0,0,0,0,0,0,0,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,134972,1904,336,83,99,154,71975,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,0,0,0,0,0,0,0,0,0,0,15572,50,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,657,0
광주,375962,164,186471,0,117342,18952,27369,17380,62806,0,43,117,398,235,0,153,5148,0,0,0,0,133,0,0,0,39,31792,72918,39774,4548,2425,4594,68040,11,0,0,0,6468,1046,60,499,0,0,0,0,0,0,0,146,0,0,0,1777,0,0,1502,144,0,0,0,0,1271,0,4,17,119,4557,7,65,3,290,0,0,39,212,0,392,322,791,68,985,3556,407,60808,7861
춘양,0,0,0,0,0,0,0,0,0,0,0,110,164,4428,0,3,1765,8,23,62,0,168,13525,2366,363,1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5407,0,0,0,0,0,0,137,20,5,0,0,3673,9157,971,2962,4059,40,88,44,623,1984,237,3190,921,0,0,0,0,0,0,0,0,0,0
철암,0,0,0,0,0,0,0,4,45,0,0,158,339,21028,0,37,12578,409,299,2135,1,1620,23834,10304,1058,3698,5,3,2,3,0,0,0,0,0,0,0,0,0,44,19,0,0,0,0,0,0,0,0,0,16320,0,0,0,0,0,0,185,85,48,0,7,9667,6483,1151,9428,20990,656,573,147,1606,3564,444,6005,2051,0,0,0,0,0,0,0,0,0,0
