,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
정선,0,0,0,0,0,0,0,550,0,0,0,0,0,99,0,0,551,86,310,30984,285,80370,1223,297,47,86,0,0,0,0,0,0,0,0,0,0,0,0,0,629,946,0,0,0,0,0,0,0,0,0,0,0,49651,0,0,0,0,0,0,0,0,0,0,0,10,8603,298,3485,1271,980733,6368,115300,186891,175,38,293,365,1,0,0,0,0,0,0,0,0,0,0
쌍룡,0,0,0,0,0,1,0,417,1,0,0,4,3,73,0,0,223,172,412,7152,318,21734,1644,205,78,133,0,0,0,0,0,0,0,0,0,0,0,0,0,878,1253,0,0,0,0,0,0,0,0,0,0,0,20328,0,3,0,0,0,0,11,36,7,0,0,1,2252,325,2469,293,8138,7319,91445,28079,156,13,499,183,5,0,0,0,0,0,0,0,0,0,0
석항,0,0,0,0,0,0,0,3984,0,0,0,3,2,634,0,0,2089,260,1243,52465,959,189861,8258,2116,639,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,3895,5227,0,0,0,0,0,0,0,0,0,0,0,119953,0,0,0,0,0,0,5,17,0,0,0,2,11650,7803,11598,5546,117633,81931,348791,221310,1234,159,2179,2024,5,0,0,0,0,0,0,0,0,0,0
고한,0,0,0,0,0,0,0,3674,0,0,0,0,0,480,0,0,647,99,1520,85420,895,187869,5270,2209,196,935,0,0,0,0,0,0,0,0,0,0,0,0,0,2191,2940,0,0,0,0,0,0,0,0,0,0,0,202066,0,0,0,0,0,0,0,0,0,0,0,232,85281,1434,55732,36158,177298,22675,230151,465292,12,0,218,474,0,0,0,0,0,0,0,0,0,0,0
부전,0,0,0,0,0,0,0,0,0,0,0,1132,312,2382,0,0,22794,29,389,7241,580,18720,27517,38500,22740,15889,2280,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1189,0,730,0,0,0,0,95,0,0,0,0,1619,4167,765,1342,2632,5,0,37,12,17473,623248,244374,91190,11201,0,0,0,0,0,0,0,0,0,0
좌천,0,0,1,0,0,0,0,0,0,0,0,0,0,5662,0,3,266232,753,240,1714,146,4532,3280,4208,2876,6234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4526,1,0,0,0,0,0,0,0,0,0,0,256,521,97,370,586,0,0,17,2,687973,240335,369802,63622,8299,0,3,29,0,4,0,0,0,0,0
울산,4651,0,1,0,0,0,0,0,262,9,65,68,40,18762,0,3,143910,22,1483,19033,1336,42103,38436,44274,22952,46321,822,0,0,0,0,0,0,0,0,0,0,0,0,1,271,0,56,0,0,0,0,0,0,0,587,414,38820,0,0,0,0,960,0,0,2,3,0,0,3449,7426,996,3667,8082,36,0,134,13,269734,376477,86743,646680,32591,0,0,2572,9,3,0,0,0,0,0
경주,118556,771,4764,5,414,263,8,10,3832,45,151,2299,2372,159227,23,19,68200,52,1060,9251,476,26008,30559,42291,34071,117355,906,38,3,0,0,0,321,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,424,0,26805,0,730,0,0,0,0,1566,1548,885,282,0,1990,9991,1286,1147,4952,277,0,53,34,95653,56815,609027,134509,682628,1,0,617,0,0,0,0,0,0,0
포항,218,242,2127,24,391,178,3,1,268,12,1066,262,402,80693,1,7,10532,11,81,391,7,1491,4115,2308,2766,23090,901,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,84,0,0,0,0,2420,0,750,0,0,0,0,12,7,0,0,0,12,99,1,6,402,0,0,6,7,15396,9397,36450,664920,4901376,951,8,833,0,5,0,0,0,0,20
진해,25246,2327,2901,5,1881,29,2267,1601,3801,12,531,1575,994,10232,3345,19515,14647,0,0,92,0,0,0,0,0,0,0,1,0,0,406,69,1459,1,0,393,210,1008,0,0,2,0,0,0,0,0,0,1,0,0,0,260,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6893,734290,56150,198184,7519,2239,567,145,292,20,332
진영,6531,317,1651,2,1075,11,584,336,2003,0,112,645,711,13434,4138,72568,184652,0,0,0,0,0,0,0,0,0,0,3,0,0,32,27,240,0,0,5,8,692,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,63,4,1,52001,145664,208958,13920,7643,2220,190,677,33,337
마산,75035,5269,14083,83,12217,13,10152,6760,11937,2,4642,12524,8525,25615,17623,187573,153000,0,0,0,0,0,0,0,1601,2355,4403,1294,0,0,1923,1149,6992,1006,100,255,408,17619,88,0,0,0,0,0,0,0,0,0,0,0,820,619,0,0,6068,0,0,1353,0,615,281,0,0,0,0,0,0,0,0,0,0,0,0,339,0,112,612,826,170824,202964,3510,510369,138735,28590,5050,4489,553,6734
