"","가산","건천","경산","경안","경주","곤지암","광주","구미","군위","금강","금산사","기흥","김제","김천","남구미","남안동","남원주","논산","다부","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","북대구","북대전","삼례","새말","서대구","서대전","서안동","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","전주","정읍","증평","진천","천안","청원","청주","추풍령","칠곡","태인","통도사","황간"
"금산사",1,11,110,543,302,1620,163417,314,0,18,0,383,14937,304,30,0,114,9674,0,1325,91,124,10744,9574,413,722,76,16511,163,263,1673,10690,293,251,8270,0,19684,1064,3363,965,1371,28,78,7,175,83,51,2542,629,57,264,159,179,7598,393,0,538,9012,516,15814,25065,49571,1083,239,2151,1135,691,54,36,6527,13,45
"기흥",2,120,1264,404,9883,2468,9286,5197,1,123,178,0,465,3534,769,8,6014,1873,14,9292,8571,1365,874,410454,25047,8362,3807,338,5821,3543,5276,595,10829,8647,1335,13,1690354,444,261184,7423,63642,1206,11234,375,6133,635,278,44259,2548,461,17671,1450,4694,4259,5654,6,24014,5573,3511,736,6280,1598,1410,1054,72349,5585,21156,310,232,520,258,351
"김제",0,22,322,1303,716,3224,246782,736,0,26,9041,687,0,996,76,1,412,13267,0,3452,149,312,22910,22169,179,1593,213,17428,285,585,3916,16287,844,547,19795,7,42914,5410,7612,2385,3482,83,174,48,409,216,188,5822,1568,192,688,441,878,17473,936,2,1300,14137,1073,19971,29403,444452,2580,623,3917,3289,1503,91,70,36891,29,111
"김천",40,2655,27996,5392,42093,19389,1491,279376,53,8444,190,4469,967,0,28847,136,1522,8920,53,155315,3067,43566,113725,128587,1300,21367,950,116,57962,178907,13588,1193,2500,190351,6461,142,257540,22718,43664,16040,23460,11727,1105,4521,2423,32877,9003,40353,58041,31092,3271,23752,2756,21938,4821,56,7133,9635,7205,224,4500,1839,7760,5211,30936,20165,11560,27926,15428,778,3187,50832
"남구미",81,3873,74434,534,68158,1220,395,8200,42,925,44,1214,111,27376,0,106,140,907,59,10589,144,119912,8696,18018,171,3368,102,14,130553,587794,1541,205,308,868200,935,168,19258,3355,5598,2313,2410,15883,231,9102,287,1969,18982,6171,4331,157132,429,72601,241,2400,701,63,964,1970,584,39,1195,655,1106,765,4239,1674,1335,2689,34814,180,4533,3804
"남안동",25201,148,1788,6,1824,20,0,153,8925,3,0,13,6,121,119,0,4,51,10113,351,0,6721,155,182,0,34,1,1,4290,46646,56,5,2,61953,13,18653,371,19,81,28,35,1022,0,327,2,25,230,50,94,445,3,1888,1,81,2,9810,4,43,10,0,29,5,1,5,65,8,24,9,31215,1,176,25
"남원주",0,57,461,21819,1516,132609,6726,1014,0,63,119,4377,504,1181,112,1,0,2989,1,13320,12636,883,641714,358090,11640,237,163268,232,4197,1957,4127,435,68571,6042,1969,1,278704,23773,73941,5030,3959,405,33250,119,155839,404,250,15156,1453,335,44359,1152,34355,5786,5234,1,124187,3903,33476,584,6148,1315,3828,4401,7119,4789,81,158,181,259,152,122
"논산",5,401,4240,5360,8592,12361,182468,8047,11,552,9718,2882,16834,9162,683,44,2629,0,8,57413,959,4280,83037,71937,888,7231,1692,9238,11101,11680,40704,27043,5268,15980,444617,42,147866,19753,25025,25524,12317,2878,823,974,2586,2774,1407,19589,16469,2104,2130,5753,3301,243201,5564,16,7160,88069,6816,20179,189537,58480,20104,6879,17648,24530,8438,952,1173,18036,459,1531
"다부",3042,114,1222,4,788,7,1,77,5347,4,0,2,0,46,70,7563,2,6,0,54,0,3277,64,36,0,5,0,0,709,18027,6,4,1,33247,4,9381,127,13,19,2,8,210,0,80,1,10,327,14,30,251,2,481,3,11,2,7808,2,9,6,0,6,1,7,3,17,8,7,10,9275,1,42,8
"대전",38,3054,32911,20718,84555,45316,63164,99701,80,77185,1440,14172,5530,154505,8647,344,14790,70870,38,0,4350,43813,330419,297615,6742,251093,5377,1961,126281,125977,73649,7756,32291,215574,51536,343,710720,239775,121062,186914,97487,18150,3687,6685,11398,122552,14775,100941,603605,20516,9504,55326,16981,59394,36764,211,36767,62531,28091,3199,75985,15090,191224,51477,365310,291235,129318,21817,10815,4701,4876,60246
