"","건천","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","남원주","논산","대구","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","북대전","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정읍","증평","진천","천안","청원","청주","추풍령","칠곡","태인","통도사","팔달","황간"
"수원",504,5740,919,33977,4121,84455,66782,696,1362,203773,5151,31270,1129,1147,18171,82609,101914,38273,13614,2044,653426,97929,44037,44208,2834,49876,40739,4858,48860,12078,12612,4827781,1759,0,33245,332393,8066,18487,5293,31919,6810,2521,222524,17716,3699,19551,7751,34420,13383,29463,76951,41344,20141,4494,56254,18236,10022,6157,376111,28478,146487,2649,86,5163,10048,0,7888
"신탄진",167,3830,5921,12101,19069,22455,10074,3643,442,4433,1607,14570,700,94,125475,33319,54971,1405,4119,74941,138938,4048,103489,3219,723,26346,47670,1493,7585,6678,48875,269570,43087,44382,0,34210,2787,2165,1078,2341,11529,1247,46023,89862,2399,1947,2702,5918,12820,22216,11440,22623,13603,1337,22836,5192,96346,25618,118633,31827,90474,1493,24,1297,3962,0,3861
"안성",409,7033,365,19986,979,45579,13381,450,754,42713,2401,23944,598,71,9749,62656,109889,1861,6848,1153,746464,10180,43805,2299,1302,29985,9302,1777,7372,8819,10543,2351739,15,342422,32729,0,6620,1468,1705,1761,4906,1618,137411,18401,3498,2938,3918,4356,8725,101,5110,26570,86,1931,30146,10177,27,13,132614,19215,137640,1170,45,2416,5373,0,1732
"양산",13934,37961,817,496418,3327,4,22645,477,8,1947,55,10411,6260,8,1481,61499,18853,237,72465,11178,34424,20,3807,453,1,2699790,3071,33,495,20850,742,56585,3777,7548,3437,5357,0,197,207176,486,3448,79071,9790,6972,11548,1326,330857,1117,1346,1589,1960,1808,1407,0,969,44,2049,1251,8359,3353,3095,577,196,9,509676,0,2689
"양지",21,187,2740,722,4095,2449,907,17,27,3335,137,1073,72,481,675,3061,2498,5697,369,42067,328876,4043,232,33792,78,1340,2087,114,30915,693,482,438302,7439,35108,1550,1792,234,0,173,19467,206,68,5592,529,104,29367,273,19722,465,12649,39632,1581,7640,154,1575,403,7728,3635,4175,792,161,50,4,88,437,0,56
"언양",8996,15704,230,146202,921,4,9525,215,5,217,35,3884,3027,3,582,38220,6882,548,40126,3525,8546,19,1920,119,0,669960,1189,49,41,9892,383,18464,917,5661,1674,1098,193500,223,0,121,1219,19618,4390,1876,10887,297,480546,263,532,330,512,556,394,0,150,51,595,317,3613,736,1598,176,139,11,838056,0,526
"여주",39,405,4821,1371,13136,5895,1183,15,106,2122,263,1772,37,2654,1552,6272,9448,3390,1021,182355,86789,1496,148,103993,117,3964,1283,220,81311,2014,1255,102556,10029,98308,2685,1846,989,11380,151,0,391,205,5881,1287,269,18173,435,76080,954,2336,30714,2818,6215,347,3552,887,2338,3286,3828,1963,20,111,5,215,767,0,131
"영동",284,3759,920,10640,1946,1216,14113,6482,41,418,191,24205,574,7,1547,39602,93689,92,5217,8801,24374,424,3708,226,50,16055,4166,100,661,7964,1496,70148,10943,7876,8194,4696,3228,146,1063,307,0,2011,5721,64197,3387,121,2581,394,6955,926,1256,1609,1039,116,1103,444,3005,1712,6651,16695,5917,6060,37,203,3777,0,12913
"영천",14871,89524,449,137405,800,20,25508,376,31,256,59,7102,6805,6,950,307005,8469,29,344811,4088,8482,11,1329,170,2,264519,4883,57,52,90808,708,23794,982,3932,974,1443,77200,57,22186,188,1534,0,2584,3884,22377,214,63031,270,906,407,663,973,493,3,411,187,601,326,2737,1186,1670,435,779,47,81540,0,1256
"오산",916,14548,585,41927,2157,121629,35819,515,1889,32311,6048,42917,1791,240,23999,115276,137786,7761,13605,889,628834,22044,63015,6889,3336,61488,9867,5199,16042,13650,15398,2784923,88,193678,51090,165604,12898,5274,4655,7403,7880,3770,0,28019,5064,6283,11797,12125,12287,1955,19989,59745,1222,6790,78771,22033,406,404,359839,39277,218207,2397,84,6716,14101,0,4189
