"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Gunsan",0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,9,0,0,17991,58,0,0,0,0,0,0,4,0,0,137669,1736,46,0,430,44705,0,0,0,0,33,0,17,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gwangju",0,0,0,0,74044,3349,766,28599,6,90,1332,35,42,88019,0,75,1817,0,8,2907,0,15,225,30695,1529,82,1,7359,45109,456,67,0,303,92,30862,0,8284,86516,0,9553,145,19592,0,11,818,12,126,237661,0,7126,0,29734,0,0,19092,20,0,16129,0,785297,7848,91930,1296,0,0,0,0,0,8,8,0,1666,0,22
"Gwangmyung",0,0,0,0,0,274591,0,28937,0,0,0,0,247625,147724,0,0,0,0,0,0,0,0,0,1142,56,0,0,44555,17,0,0,0,0,0,0,0,0,23378,0,1034,0,5842,0,0,0,0,1070,19154,0,2773,0,2331,0,0,0,0,0,0,0,7199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gwangyang",0,0,0,0,2127,2025,2238,267,0,0,0,0,0,318,0,454,0,0,0,0,0,0,324,0,0,0,0,584,0,276,0,0,2307,341,110,0,393,194,18,0,0,0,351,0,5785,0,179,827,0,212,51,42,0,0,228,0,0,92,0,6449,2627,1154,0,0,0,0,0,0,0,0,0,0,0,0
"Gyeongju",15761,0,991,0,0,79460,0,5765,353,0,0,0,167010,9903,717,467,0,6415,0,2267,0,1982,0,47,0,5110,0,61,0,0,23947,23916,0,0,0,0,0,102,0,2,1413,33,0,0,0,0,0,0,0,0,0,55,56,123624,1554,172,0,572,0,79256,0,23841,1922,61564,1074,329,0,0,28615,282,8584,0,0,432
"Gyeongsan",7453,0,1171,0,0,442622,57188,9132,63686,0,0,0,306029,33766,77,603,0,5074,0,630,0,46733,5345,3,0,123631,0,0,0,0,26882,41929,0,1130,0,0,0,7,0,0,229,9,0,0,5261,0,61559,0,4289,0,0,11,1237,36201,5074,272,6230,8462,0,83965,0,31168,1486,6126,3,0,1310,0,2784,3426,5866,0,0,0
"Hadong",0,0,0,0,497,5144,11388,100,0,0,0,0,0,86,0,0,0,0,0,0,0,0,940,0,0,0,0,296,0,1294,0,0,3271,866,34,0,84,81,17,0,0,0,83,0,51057,0,249,184,0,38,17,35,0,0,83,0,0,37,0,2754,5182,622,0,0,0,0,0,0,0,0,0,0,0,0
"Haman",0,0,0,0,94,8783,46561,374,228,0,0,0,5946,797,0,0,0,0,0,0,0,192,2997,0,0,420,0,141,0,291,0,1442,878,1103,17,0,39,0,0,0,0,0,0,0,20678,0,1807,153,0,6,0,0,14,0,187,0,0,160,0,5308,744,1582,0,0,0,0,0,0,0,81,0,0,0,0
"Hampyeong",0,0,0,0,452,707,210,2218,0,0,0,0,0,4965,0,0,0,0,0,0,0,0,29,1645,0,0,0,25075,0,114,0,0,24,16,749,0,677,4967,0,1215,0,2050,0,0,95,0,12,13057,0,1817,0,1496,0,0,1261,0,0,1258,0,38099,1030,10155,0,0,0,0,0,0,0,0,0,277,0,0
"Hongsung",0,45263,0,24445,0,25,0,122728,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,1821,0,288,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,25128,0,0,0,24947,279867,614,88506,55,0,204,13,0,0,0,0,0,0,18420,0
