"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Iksan",0,5900,0,44830,1152,0,0,53206,0,3,0,1,0,188880,0,0,0,0,0,0,0,0,0,0,31859,9167,0,18432,108142,81403,0,0,0,13048,0,0,3262,21312,229,3483,14107,18040,9,122223,116275,0,0,0,0,44977,0,7883,38778,52277,0,0,21521,0,0,20392,27480,542124,86926,91532,9,0,0,0,0,0,0,0,0,55070,9919,0
"Imsil",0,0,0,0,0,246,0,1561,0,409,0,0,0,2896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,13120,471,0,0,0,20586,0,0,0,0,0,0,0,1271,676,0,0,894,0,0,735,0,17677,7696,5359,0,0,541,20,0,0,0,0,0,6165,0,0
"Jangsung",0,0,0,0,296,0,0,3714,0,5,864,0,0,20360,0,297,0,359,0,0,0,0,0,0,6448,1409,0,0,11436,11387,0,0,0,1737,0,0,1336,0,173,16970,0,1365,0,6001,0,1,0,0,0,7606,0,2765,0,5752,0,36,2332,864,0,3126,0,97933,139,14526,0,0,936,0,0,720,0,205,0,241,0,0
"Jecheon",16573,0,0,280,0,5772,462,6261,0,52753,0,102929,126,78201,4856,0,0,0,508,9373,0,0,0,0,4,0,4,356,33,0,0,1336,4,0,0,0,0,0,0,15,0,0,97,5,295,12430,0,0,60,190,0,0,388,2,0,440,1208,0,0,34122,116,97209,0,3289,16847,3678,31982,8815,0,0,618,0,34644,0,0,0
"Jeongeup",0,86,189,0,379,776,0,15787,19,344,234,1,59,47576,0,31,0,102,0,0,0,58,27,0,24122,3235,27,0,26621,24852,0,0,43,2228,0,0,859,135,73,119860,0,6013,0,5,0,0,360,0,53,15106,0,2689,0,9904,0,0,7696,234,0,5437,0,200056,257,37007,67,0,341,12,0,121,191,0,0,213,149,0
"Jeongju",0,0,52,0,0,0,0,14456,0,465,349,0,0,36157,0,96,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3192,0,0,0,0,0,109726,24838,0,295,0,4175,0,0,0,0,0,0,0,66487,16732,0,0,10573,349,0,10600,0,115978,103751,56909,0,0,445,3,0,116,0,10,0,77985,0,0
"Jeungpyung",0,0,0,0,0,0,0,783,0,9114,0,1974,0,13677,0,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13174,0,0,0,0,0,0,0,0,0,0,2,0,0,251,0,0,10822,0,3461,0,917,45,0,0,0,0,0,0,0,0,0,0,0
"Jinju",412,0,305,0,1413,21064,47405,418,284,0,0,0,1234,94,0,0,0,0,505,0,57,0,390,4381,0,0,499,673,900,0,4326,352,1770,0,40453,15654,110,0,401,0,0,0,0,360,0,0,15056,363,3659,1288,58,114,0,0,13,0,227,0,57,58,0,1630,9456,565,0,746,0,0,170,0,0,49,433,0,0,0
"Jungsun",676,0,134,0,0,2584,746,0,0,34,2,46,1886,1001,0,0,0,0,75,0,0,28,0,7,0,0,415,448,5,0,228,0,15,0,0,0,0,0,0,91,0,0,39812,0,501,7,0,0,21,108,0,0,0,0,0,0,0,2,0,12,0,78577,171,1,13473,174,27853,2576,0,0,0,0,681,0,0,0
"Milyang",0,0,0,0,120,744865,260192,27751,5240,0,0,555,229515,60521,44,0,0,0,0,0,1161,0,4810,28353,0,1058,16087,0,27,69343,166,0,79326,0,457,1353,10,0,19,0,0,0,18,53,0,0,4588,591,54848,85,591,5,0,72,382,0,2677,0,1161,2156,0,396701,438,12757,0,0,0,0,274,0,0,2144,540,0,0,72
"Mokpo",216,21,45,292,1368,1141,893,25189,95,308,20,35,246,69752,0,32,0,99,93,0,0,19,230,182,8007,6557,142,0,217264,57267,183,78,9,2107,220,135,6528,248,3667,44159,0,7529,190,15291,0,0,962,0,57,777,0,20587,0,8639,6,254,7672,20,0,5673,385,383442,2896,29892,664,0,75,34,45,52,35,404,363,0,0,0
